id,question,answer,created_at
940,What degrees make me eligible to apply to TIGP?,Applicants must have a bachelor's (BS) and/or master's (MS) degree to apply. Confirm specific requirements with your program of interest.,2024-06-05 19:43:59
939,Is there an application fee for TIGP?,"No, TIGP does not require an application fee.",2024-06-05 19:43:59
938,How and when can I apply to TIGP?,Applications are open from November to February each year. Apply through https://tigp.apps.sinica.edu.tw/index.php for enrollment in the subsequent fall semester.,2024-06-05 19:43:59
937,When do I need to choose an advisor if I join TIGP?,Students must select a thesis advisor before the end of their first year of study.,2024-06-05 19:43:59
936,Do I need to find an advisor before being admitted to TIGP?,"No, finding an advisor in advance is not compulsory for most programs.",2024-06-05 19:43:59
935,What are the tuition and credit fees for TIGP?,Tuition fees vary among partner universities and are due upon registration each semester. Please contact your program of interest for specific details.,2024-06-05 19:43:59
934,How long does the fellowship last for TIGP students?,"The fellowship lasts for up to three years, after which financial support depends on the thesis advisor.",2024-06-05 19:43:59
933,What is the value of the fellowship for TIGP students if admitted?,"TIGP students receive a stipend of NT$34,000/month for the first year, with possible extensions for a further 2 to 3 years.",2024-06-05 19:43:59
932,How should students handle their ARC application?,Refer to the user guide and apply online.,2024-06-05 19:41:45
931,What is the procedure for attestation at BOCA or MOFA’s Branch?,Follow the procedure set by the authorities of the requesting country.,2024-06-05 19:41:45
930,How long does the visa application process take?,Usually 5 business days post-interview.,2024-06-05 19:41:45
929,What is required for attestation at Taiwan Shilin District Court?,"Passport, ARC, and the original diploma.",2024-06-05 19:41:45
928,How much does a city bus ride cost from Nanagang Exhibition Center to Academia Sinica?,NT$15.,2024-06-05 19:41:45
927,What transportation options are available from Taoyuan Airport to Academia Sinica?,"Taxi, intercity bus, city bus, and private transfer.",2024-06-05 19:41:45
926,How long is the ARC extension valid for?,"One year, extendable twice for a total of two years.",2024-06-05 19:41:45
925,What should students do after entering Taiwan with a resident visa?,Apply for ARC and re-entry permit at the National Immigration Agency.,2024-06-05 19:41:45
924,What is the ARC application procedure for academic degree students?,Refer to the National Immigration Agency's user guide.,2024-06-05 19:41:45
923,How do students handle attestation of documents?,Apply at the notarization counter and follow the attestation process.,2024-06-05 19:41:45
922,How do students file individual income tax in Taiwan?,"Verify tax withheld, file tax report, and visit the local revenue office.",2024-06-05 19:41:45
921,What is the duration for opening a post office account?,"Half an hour, excluding wait time.",2024-06-05 19:41:45
920,What steps should be followed for ARC extension?,Apply at the National Immigration Agency and provide the necessary documents.,2024-06-05 19:41:45
919,What documents are required for ARC application?,"Photo, passport, resident visa, ARC, and proof of accommodation.",2024-06-05 19:41:45
918,How do students open a post office account?,Visit the post office with the required documents and apply for internet banking.,2024-06-05 19:41:45
917,What is the contact number for Taiwan Taoyuan District Court Zhongli Summ. Court?,"(03)3396100 ext. 33118, 33210, 33120.",2024-06-05 19:41:45
916,What should students do after obtaining their diploma?,Apply for ARC extension and notarize the diploma.,2024-06-05 19:41:45
915,Where can students apply for ARC online?,National Immigration Agency's online application system.,2024-06-05 19:41:45
914,What is the website for NHI information?,https://www.nhi.gov.tw/en/mp-2.html.,2024-06-05 19:41:45
913,What are the operating hours for Taiwan Hsinchu District Court?,"Mon.- Fri. 8:00-12:00, 13:00-17:00.",2024-06-05 19:41:45
912,How do students avoid NHI double payment?,Check tuition details each semester and inform the university.,2024-06-05 19:41:45
911,What are the required documents for NHI registration?,Proof of NHI transfer-out and proof of NHI registration from another organization.,2024-06-05 19:41:45
910,How can students apply for the Alien Resident Certificate (ARC) extension?,Apply at the National Immigration Agency.,2024-06-05 19:41:45
909,What is the tax rate for the stipend for the third year and beyond?,"NT$24,000/month for the third year and the entirety for the fourth year and beyond.",2024-06-05 19:41:45
908,How long can students stay abroad without affecting their NHI?,Stay abroad once for less than 30 days or multiple stays abroad each less than 30 days.,2024-06-05 19:41:45
907,What should students do if they need to transfer their NHI policy?,Request proof of NHI transfer-out from the previous organization and submit it to the university.,2024-06-05 19:41:45
906,How should students handle ARC change of information?,Refer to the National Immigration Agency's user guide.,2024-06-05 19:41:45
905,What is the procedure for filing individual income tax in Taiwan?,"Verify tax withheld by the university, file tax report, and visit the local revenue office.",2024-06-05 19:41:45
904,Where is the Taiwan Shilin District Court located?,"No. 91, Sec. 6, Minquan E. Rd., Neihu Dist., Taipei City.",2024-06-05 19:41:45
903,What documents are required for ARC extension with the diploma?,Diploma and ARC.,2024-06-05 19:41:45
902,How should students handle NHI termination and refunds after leaving Taiwan?,Contact the university to finalize the termination and receive a refund.,2024-06-05 19:41:45
901,What steps are involved in attesting and authenticating documents in Taiwan?,"Apply at the notarization counter, submit documents, and pay the fee at the Cashiers’ Office.",2024-06-05 19:41:45
900,What must students do after obtaining their ARC?,Open a post office account.,2024-06-05 19:41:45
899,What documents are needed for the first-time ARC application?,"Photo, passport, resident visa, and proof of accommodation.",2024-06-05 19:41:45
898,How much does a taxi from Taoyuan Airport to Academia Sinica cost?,"NT$1,200 to NT$1,900.",2024-06-05 19:41:45
897,What transportation options are available from Taoyuan Airport to Academia Sinica?,"Taxi, private transfer, intercity bus, and city bus.",2024-06-05 19:41:45
896,What is the first step after landing in Taiwan?,Determine if you need to apply for an ARC card.,2024-06-05 19:41:45
895,"What should students with a visitor visa marked ""FS"" or ""FC"" do to apply for an ARC?",Apply online once all necessary documents are ready.,2024-06-05 19:41:45
894,How long does it take to process a visa application?,Usually takes 5 business days post-interview.,2024-06-05 19:41:45
893,What is the tax rate for non-taxable fellowships?,"6% or 18%, depending on the student's duration of stay.",2024-06-05 19:41:45
892,How is the tax rate determined for Taiwanese nationals?,Approximately 5%.,2024-06-05 19:41:45
891,Where should students visit for tax filing?,The local revenue office corresponding to the address listed on the ARC card.,2024-06-05 19:41:45
890,What should new students not yet registered with NHI do?,Submit the NHI card application form to the university after obtaining the ARC.,2024-06-05 19:41:45
889,What are the benefits of the NHI APP's E-Counter?,Online applications for NHI cards and access to personal health information.,2024-06-05 19:41:45
888,How long does it take to open a post office account?,"Half an hour, excluding wait time in the queue.",2024-06-05 19:41:45
887,What is required for opening a post office account?,"Passport, ARC, personal chop, and passbook.",2024-06-05 19:41:45
886,What is the validity of the ARC and re-entry permit?,Validity should be extended before expiration.,2024-06-05 19:41:45
885,Who needs to apply for the ARC?,Academic degree students.,2024-06-05 19:41:45
884,Where can students apply for the ARC online?,National Immigration Agency's online application system.,2024-06-05 19:41:45
883,What must students do after entering Taiwan with a resident visa?,Apply for an Alien Resident Certificate (ARC) and re-entry permit at the National Immigration Agency (NIA).,2024-06-05 19:41:45
882,"How do I apply for a resident visa if I hold a visitor visa labeled ""FR""?",Submit the application to the Bureau of Consular Affairs (BOCA).,2024-06-05 19:41:45
881,Where can I find more information about ARC application?,Refer to the User guide and the National Immigration Agency website.,2024-06-05 19:35:12
880,How can I get a refund for NHI if I transfer out?,No refund is available upon transfer-out.,2024-06-05 19:35:12
879,What should I bring to the post office to activate internet banking?,Your passbook and password envelope.,2024-06-05 19:35:12
878,What is the maximum reimbursement for hospitalization under group insurance?,"NT$120,000 per hospitalization.",2024-06-05 19:35:12
877,What is the maximum reimbursement for outpatient treatment under group insurance?,"NT$1,000 per visit.",2024-06-05 19:35:12
876,Where can I find the NHI APP?,Download it from the official app stores.,2024-06-05 19:35:12
875,What should I do if my ARC information changes?,Update the information within 15 days.,2024-06-05 19:35:12
874,How long does it take to travel from Taoyuan Airport to Academia Sinica by taxi?,About 1 hour.,2024-06-05 19:35:12
873,What are the transportation options from Nangang Exhibition Center to Academia Sinica?,City bus or taxi.,2024-06-05 19:35:12
872,What should I do after receiving my ARC?,Apply for internet banking and open a post office account.,2024-06-05 19:35:12
871,What should I do if I lose my NHI card?,Replace or reissue it through the local District Office or NHI APP.,2024-06-05 19:35:12
870,How is the NHI premium collected?,With the tuition fee on a semester basis.,2024-06-05 19:35:12
869,What does the Group Medical Insurance cover?,"Accidents or sickness in Taiwan, excluding pre-existing conditions or specialized medical care.",2024-06-05 19:35:12
868,What should I do if I need a refund for NHI upon graduation?,Submit a refund request to the university.,2024-06-05 19:35:12
867,How do I submit an NHI card application form to the university?,After obtaining your ARC.,2024-06-05 19:35:12
866,What is required for mobile phone number authentication for the NHI APP?,"Monthly-contract user, and the phone number & NHI Card must belong to the same person.",2024-06-05 19:35:12
865,What happens if I need to stay abroad multiple times for less than 30 days each?,The NHI registration will use the last entry date.,2024-06-05 19:35:12
864,What should I do if I stay abroad for over 30 days?,Contact the University to finalize NHI termination.,2024-06-05 19:35:12
863,How can I bind my account to the NHI APP?,Use mobile phone number authentication or mobile device code authentication via NHI Card Online Service Registration System.,2024-06-05 19:35:12
862,What is the supplementary premium for NHI?,Academia Sinica deducts a 2.11% supplementary premium from the monthly stipend.,2024-06-05 19:35:12
861,How do I file a claim for group medical insurance?,"Bring original payment receipts, certificate of diagnosis, passport, ARC, post office passbook, and the application form for compensation to the university.",2024-06-05 19:35:12
860,What does the general student insurance cover?,"Death benefit, disability coverage, hospitalization benefits, and coverage for burns and scalds.",2024-06-05 19:35:12
859,What insurance is required during the PhD program?,National Health Insurance and Group Medical Insurance for international students.,2024-06-05 19:35:12
858,What is the process for NHI transfer-out?,Contact the University to finalize the NHI termination and receive a refund to your bank account.,2024-06-05 19:35:12
857,What should I do if I need medical treatment before joining NHI?,"Pay the full amount at a clinic or hospital, request a certificate of diagnosis, and obtain a payment receipt.",2024-06-05 19:35:12
856,When can new students join NHI?,After continuously staying in Taiwan for 6 months.,2024-06-05 19:35:12
855,What are the benefits of the NHI APP?,"Access to personal health information, online applications, virtual NHI card, and nearby medical institutions search.",2024-06-05 19:35:12
854,How do I replace or reissue an NHI card?,Visit the local District Office or use the NHI APP.,2024-06-05 19:35:12
853,What additional document is needed for ARC extension?,The current ARC.,2024-06-05 19:35:12
852,What documents are needed for first-time ARC application?,"Photo, passport, resident visa, and proof of accommodation.",2024-06-05 19:35:12
851,Who needs to apply for an ARC?,Academic Degree Students.,2024-06-05 19:35:12
850,How can I apply for an Alien Resident Certificate (ARC)?,Refer to the User guide and apply online @ National Immigration Agency.,2024-06-05 19:35:12
849,What items will I receive after opening a post office account?,"Passbook, password envelope, and ATM card.",2024-06-05 19:35:12
848,How can I apply for internet banking at the post office?,Apply during the account opening process.,2024-06-05 19:35:12
847,What should I do if I need to transfer my NHI policy?,Request a proof of NHI transfer-out from your previous organization and submit it to the university.,2024-06-05 19:35:12
846,How do I join the National Health Insurance (NHI) system in Taiwan?,Enroll after 6 months of continuous residence through on-site service @ local District office.,2024-06-05 19:35:12
845,When should I pay tuition and ARC fees?,At the convenience store after physical registration.,2024-06-05 19:35:12
844,What is the required health checkup procedure in Taiwan?,Health checkup @ Designated Taiwan Hospital by the University.,2024-06-05 19:35:12
843,What bus should I take from Nangang Exhibition Center to Academia Sinica?,City Bus #205/212/276/306/645/Beihuan Metro.,2024-06-05 19:35:12
842,How long does it take to get from Taoyuan Airport to Academia Sinica by intercity bus?,About 1 hour 20 minutes.,2024-06-05 19:35:12
841,How much does a taxi from Taoyuan Airport to Academia Sinica cost?,"Approximately NT$1,000 to NT$1,900.",2024-06-05 19:35:12
840,What are the transportation options from Taoyuan Airport to Academia Sinica?,"Taxi, intercity bus, city bus, or private transfer.",2024-06-05 19:35:12
839,How do I get from Taoyuan Airport to Academia Sinica?,"You can take a taxi, intercity bus, or city bus.",2024-06-05 19:35:12
838,What should I do if I need a TIGP dorm?,Contact the TIGP Dorm Program Secretary @ Research Unit.,2024-06-05 19:35:12
837,What documents are required for opening a post office account?,"ARC or UI No. Certificate, passport and its photocopy, personal chop, and passbook.",2024-06-05 19:35:12
836,How can I open a post office account in Taiwan?,"Visit a post office with your ARC or UI No. Certificate, passport, and personal chop.",2024-06-05 19:35:12
835,Where can I apply for an ARC card?,Online Application @ National Immigration Agency.,2024-06-05 19:35:12
834,What is the first step after landing in Taiwan?,Apply for an ARC card within 30 days after landing.,2024-06-05 19:35:12
833,How long does it take to process a resident visa application?,"Usually, it takes 5 business days post-interview.",2024-06-05 19:35:12
832,Where do I apply for a resident visa?,Apply through the Taiwan overseas mission.,2024-06-05 19:35:12
831,How should students prepare their health checkup form?,Complete the health checkup form as required and submit it with other documents.,2024-06-05 19:29:33
830,What should students do if they require a family room?,Family rooms are available for 2-year-grade or up students.,2024-06-05 19:29:33
829,Where can you find emergency contacts for the TIGP program?,Contact details are provided in the admission package and through the TIGP office.,2024-06-05 19:29:33
828,Where can you find public schools with international or bilingual classes?,"Look for schools near Academia Sinica, such as Nangang Elementary School.",2024-06-05 19:29:33
827,Where can you find school district information?,Use the School District Finder tool.,2024-06-05 19:29:33
826,Where can you find information about child care centers?,Visit https://ncwisweb.sfaa.gov.tw/home/childcare-center.,2024-06-05 19:29:33
825,Where can you find more information about the National Immigration Agency?,Visit https://www.immigration.gov.tw/5475/5478/141386/127061/127076/.,2024-06-05 19:29:33
824,What should you do if further review is required for the visa application?,The case will be sent to the Bureau of Consular Affairs (BOCA) for further examination.,2024-06-05 19:29:33
823,What is the visa application flow for overseas students?,"Submit the visa application to the Taiwan overseas missions, undergo an interview if necessary, and upon approval, enter Taiwan with the resident visa.",2024-06-05 19:29:33
822,What should you do upon receiving the admission package from TIGP?,Follow the instructions provided in the package for further steps.,2024-06-05 19:29:33
821,What is the physical registration process for selected universities?,Physical registration details are provided by the respective university.,2024-06-05 19:29:33
820,Where can you select and register for online courses?,Through the TIGP Online System.,2024-06-05 19:29:33
819,Is a health checkup required for minors under 6 years?,Minors under 6 years are exempt from the health checkup.,2024-06-05 19:29:33
818,Where should you get the health checkup?,At a designated Taiwan hospital by the university.,2024-06-05 19:29:33
817,Where do you pay the tuition and ARC fee?,Pay at a convenience store.,2024-06-05 19:29:33
816,What are the steps for flight reimbursement for selected students?,Check with the TIGP office for specific procedures.,2024-06-05 19:29:33
815,How much is the tuition per semester for TIGP?,"NT$30,000 (~US$950).",2024-06-05 19:29:33
814,How much is the city bus from Nangang Exhibition Center to Academia Sinica?,NT$15.,2024-06-05 19:29:33
813,What are the transport options from Taoyuan Airport to Academia Sinica?,"Options include taxi, city bus, and intercity bus.",2024-06-05 19:29:33
812,What financial proof is suggested for dependents?,"NT$200,000 per family member.",2024-06-05 19:29:33
811,What documents are needed for family members as dependents?,"Attestation/Authentication of marriage (spouse) and/or birth (minors) certificate, and Health Checkup Form (minors under 6 are exempt).",2024-06-05 19:29:33
810,What stipends are taxable for students?,Details on taxable stipends and non-taxable fellowships are provided by the university.,2024-06-05 19:29:33
809,When is the income tax filing period in Taiwan?,Between May 1 to 31 of the next year for the previous year.,2024-06-05 19:29:33
808,Where can you quickly calculate alien individual income tax?,"Online, through the Quick Calculation of Alien Individual Income Tax tool.",2024-06-05 19:29:33
807,What is the tax rate for foreign students in Taiwan?,6% or 18% depending on the conditions.,2024-06-05 19:29:33
806,How do you file insurance claims at the university?,Follow the specific procedures provided by the university.,2024-06-05 19:29:33
805,What benefits does general student insurance provide?,"Hospitalization benefits, death benefit, disability coverage, burn/scald coverage.",2024-06-05 19:29:33
804,What insurance covers the period before joining NHI?,Group insurance covers the 6-month pending period before NHI.,2024-06-05 19:29:33
803,When must students join the National Health Insurance (NHI) system?,After residing in Taiwan for over six months.,2024-06-05 19:29:33
802,What are the types of ARC applications?,"First-time application, extension, and change of information.",2024-06-05 19:29:33
801,What documents are required for the ARC application?,"Photo, Passport, Resident Visa, Proof of Accommodation, Certificate of Enrollment or Student ID.",2024-06-05 19:29:33
800,Where do you apply for an ARC card?,Apply online at the National Immigration Agency.,2024-06-05 19:29:33
799,When must you apply for an Alien Resident Certificate (ARC)?,Within 30 days upon entering Taiwan.,2024-06-05 19:29:33
798,When is the best time to visit the post office for opening an account?,"9-11am & 3-5pm on Tue., Wed., and Thurs.",2024-06-05 19:29:33
797,What documents are required to open a post office account in Taiwan?,"Personal Chop, ARC card or UI No. Certificate, Passport and its photocopy, passbook.",2024-06-05 19:29:33
796,Where can you find a taxi queue at Taoyuan Airport?,"Outside the Arrival Halls, available 24 hours.",2024-06-05 19:29:33
795,How much does the city bus from Nangang Exhibition Center to Academia Sinica cost?,NT$15.,2024-06-05 19:29:33
794,What is the cost of the intercity bus from Taoyuan Airport to Nangang Exhibition Center?,NT$158.,2024-06-05 19:29:33
793,How much does a taxi from Taoyuan Airport to Academia Sinica typically cost?,"NT$1,200 to NT$1,900.",2024-06-05 19:29:33
792,What transportation options are available from Taoyuan Airport to Academia Sinica?,"Taxi, Intercity Bus, Public Transportation, and Private Transfer.",2024-06-05 19:29:33
791,What should you do if your visa is rejected?,Notify the overseas mission to reject the visa and reapply as per guidelines.,2024-06-05 19:29:33
790,What types of visas are applicable for TIGP students?,Resident Visa (>180 days) and Visitor Visa (≤180 days).,2024-06-05 19:29:33
789,What is the usual processing time for document attestation?,"It normally takes 1 month but expedited service is available for a fee, reducing the time to 2 weeks.",2024-06-05 19:29:33
788,What online attestation services are available for Chinese students?,"CHSI or ChinaDegrees for higher education qualifications, master’s degrees, and transcripts.",2024-06-05 19:29:33
787,How do you attest/authenticate your highest degree obtained?,Through the process involving two Taiwanese Missions: one where the documents were obtained and another in the current country of residence.,2024-06-05 19:29:33
786,What accommodation options are available for TIGP students?,"TIGP Dorm, Partner University Single Room, Family Room for 2nd-year and above students, Off-Campus Apartment.",2024-06-05 19:29:33
785,What documents need attestation/authentication before applying for a visa?,Academic Documents and Health Checkup Form.,2024-06-05 19:29:33
784,What should you do with your personal information for course selection?,Register it on the TIGP Online System.,2024-06-05 19:29:33
783,Where do you apply for a Student Resident Visa?,At a Taiwan Overseas Mission.,2024-06-05 19:29:33
782,What is the first step in the visa process for TIGP students?,Obtain a Student ID Number.,2024-06-05 19:29:33
781,How can I update my contact information with the tax authority?,Update your information through the tax office or the online portal provided by the tax authority.,2024-06-05 19:19:03
780,What are the common mistakes to avoid when filing taxes?,"Common mistakes include incorrect personal information, missing documents, and miscalculating income or deductions.",2024-06-05 19:19:03
779,Is there an online portal for checking the status of my ARC application?,"Yes, you can check the status through the National Immigration Agency's online system.",2024-06-05 19:19:03
778,What should I bring to the tax office when filing my return?,"Bring all relevant documents, including your ARC, proof of income, and any deductions or credits.",2024-06-05 19:19:03
777,Can I appeal a tax assessment if I disagree with the calculated liability?,"Yes, there is an appeal process available through the tax authority.",2024-06-05 19:19:03
776,What are the penalties for late tax filing?,Penalties vary and can include fines and interest on overdue amounts.,2024-06-05 19:19:03
775,How do I calculate my tax liability if I have multiple sources of income?,Combine all sources of income and apply the appropriate tax rates as specified in the guidelines.,2024-06-05 19:19:03
774,Can I use my ARC for accessing health insurance services?,"Yes, the ARC is required for National Health Insurance enrollment and services.",2024-06-05 19:19:03
773,What should I do if my ARC information changes?,Update the relevant information through the National Immigration Agency's procedures.,2024-06-05 19:19:03
772,How often do I need to renew my ARC?,ARC renewal periods are specified based on the type of visa and residency status.,2024-06-05 19:19:03
771,What are the steps to activate internet banking after opening a post office account?,"Follow the procedure outlined by the post office, including any required documentation and verification.",2024-06-05 19:19:03
770,How can I get assistance with my tax filing?,Consult your university's financial office or a tax professional.,2024-06-05 19:19:03
769,What should I do if my stipend exceeds the non-taxable threshold?,Ensure proper documentation and report the income during the tax filing period.,2024-06-05 19:19:03
768,What are the enforcement periods for different tax rates?,Tax rates are enforced based on the duration of stay and specific periods defined by the tax authority.,2024-06-05 19:19:03
767,What defines taxable and non-taxable income for aliens in Taiwan?,The definitions are provided in the tax regulations and guidelines.,2024-06-05 19:19:03
766,Is there a specific software required for online tax filing?,"Yes, you need a card reader for e-filing with an NHI card.",2024-06-05 19:19:03
765,How can I access online tax filing?,Via a Windows OS-based offline operating system or a web-based online operating system.,2024-06-05 19:19:03
764,What are the contact numbers for tax authorities in Taiwan?,Contact numbers vary by region and can be found in the provided resources.,2024-06-05 19:19:03
763,Are there supplemental stipends available?,"Yes, there are supplemental stipends of NT$6,000 or NT$16,000.",2024-06-05 19:19:03
762,What is the quick calculation method for alien individual income tax?,Use the stipulated rates and conditions provided in the tax guidelines to calculate your liability.,2024-06-05 19:19:03
761,What fellowship options are available for students?,"Fellowship options include NT$34,000/month for the 1st and 2nd years and NT$10,000/month for the 3rd year, as well as Presidential, Research Performance, and Rising Star Fellowships.",2024-06-05 19:19:03
760,What is the definition of the taxable year for income tax purposes?,The taxable year runs from January 1 to December 31.,2024-06-05 19:19:03
759,What happens if the deducted tax amount surpasses my tax liability?,The excess will be refunded the next year upon filing your tax report.,2024-06-05 19:19:03
758,Where can I file my individual income tax?,You can file at the local revenue office corresponding to the address listed on your ARC card.,2024-06-05 19:19:03
757,What is the tax rate for stays longer than 183 days?,The tax rate is 5%.,2024-06-05 19:19:03
756,What is the tax rate for stays under 183 days?,The tax rate is 6%.,2024-06-05 19:19:03
755,What should I do if my university withholds taxes from my stipend?,Verify with your workplace's accountant and check if the deducted amount surpasses your tax liability for potential refunds.,2024-06-05 19:19:03
754,How can I file my individual income tax?,"You can file online, on-site, or via e-filing with an NHI card.",2024-06-05 19:19:03
753,What is the taxable year period in Taiwan?,The taxable year is from January 1 to December 31.,2024-06-05 19:19:03
752,When is the tax filing period in Taiwan?,The tax filing period is from May 1 to May 31 for the previous year.,2024-06-05 19:19:03
751,What additional documents might be needed for NHI registration?,"Depending on your situation, additional documents like proof of employment might be required.",2024-06-05 19:19:03
750,What are the filing methods for NHI registration?,You can file online or on-site at the local NHI division.,2024-06-05 19:19:03
749,How do I register my NHI card online?,You can use an e-filing system with a card reader required.,2024-06-05 19:19:03
748,When do students need to enroll in NHI?,Enrollment is required upon receiving the ARC.,2024-06-05 19:19:03
747,What is the NHI coverage?,"NHI covers various medical expenses including hospitalization, outpatient services, and preventive care.",2024-06-05 19:19:03
746,What is required for enrolling in National Health Insurance (NHI)?,You need to have an ARC and fill out the necessary forms.,2024-06-05 19:19:03
745,How can I change information on my ARC?,Submit the relevant supporting documents as per the instruction manual.,2024-06-05 19:19:03
744,What documents are needed for ARC extension?,"You will need your ARC, passport, proof of accommodation, and certificate of enrollment with a valid registration stamp.",2024-06-05 19:19:03
743,How do first-time applicants apply for an ARC online?,They should refer to the user guide provided.,2024-06-05 19:19:03
742,Who needs to apply for an ARC?,Academic degree students need to apply for an ARC.,2024-06-05 19:19:03
741,What documents are required for ARC application?,"Required documents include a passport, resident visa, proof of accommodation, and certificate of enrollment or student ID with a valid registration stamp.",2024-06-05 19:19:03
740,When should a resident visa holder apply for an ARC?,A resident visa holder should apply within 30 days of entering Taiwan.,2024-06-05 19:19:03
739,Where can students apply for an ARC?,Students can apply via the National Immigration Agency's online application system.,2024-06-05 19:19:03
738,How long does it take to open a post office account?,"The process takes about half an hour, excluding wait time in the queue.",2024-06-05 19:19:03
737,What do I need to do after opening a post office account?,Download the Post Office app and activate it within 30 days of account opening.,2024-06-05 19:19:03
736,How can I apply for internet banking?,You can apply for internet banking during the account opening procedure.,2024-06-05 19:19:03
735,What are the best times to visit the post office to avoid long waits?,"The best times are 9-11 am and 3-5 pm on Tuesday, Wednesday, and Thursday.",2024-06-05 19:19:03
734,"What is a personal chop, and is it necessary?","A personal chop is a stamp with your name in Chinese characters or English letters, and it is necessary for various official purposes.",2024-06-05 19:19:03
733,How much is the initial deposit for opening a post office account?,The initial deposit is NT$100.,2024-06-05 19:19:03
732,What is required to open a post office account in Taiwan?,"You need an ARC card or UI No. Certificate, personal chop, passport and its photocopy, passbook, and password envelope.",2024-06-05 19:19:03
731,How to get financial proof for visa application?,"Show financial proof of NT$200,000 per family member.",2024-06-05 19:12:41
730,What is the procedure for ARC renewal?,Apply for an extension and replace with a new ARC card after completing school enrollment.,2024-06-05 19:12:41
729,What are the supporting documents for ARC application?,"Certificate of Admission Permit, Certificate of Enrollment, or student ID.",2024-06-05 19:12:41
728,Which app should be downloaded for managing NHI?,Download the NHI APP.,2024-06-05 19:12:41
727,What is the insurance coverage for pre-existing conditions?,Not covered by group medical insurance.,2024-06-05 19:12:41
726,How to use the NHI app for e-counter services?,Register via NHI Card Online Service Registration System and bind the account with a mobile device.,2024-06-05 19:12:41
725,What are the post office account opening hours with shorter wait times?,"9-11am & 3-5pm on Tue., Wed., and Thurs.",2024-06-05 19:12:41
724,What is the recommended action for first-time ARC applicants?,Refer to the User guide for step-by-step instructions.,2024-06-05 19:12:41
723,What should students do if they are registered with NHI elsewhere?,Provide proof of NHI registration from another organization and avoid NHI double payment.,2024-06-05 19:12:41
722,How often should NHI premiums be paid?,Pay premiums every month at a convenience store.,2024-06-05 19:12:41
721,What is the recommended procedure for new students regarding NHI registration?,Submit the NHI card application form to the university after obtaining the ARC.,2024-06-05 19:12:41
